Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Sayur-Sayuran Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,
Kota Baru,12934.81,544.78,652.3,241.59,30.05,303.06,209.53,569.11,441.41,241.94,376.46,422.89,739.75,74.11,265.56,685.91,144.01,83.53,148.12,34.05,2646.86,1736.01,9.63,292.53,106.61,1768.93,166.09
Banjar,9005.13,539.34,410.74,185.75,16.82,119.16,134.51,420.01,326.11,232.38,328.29,210.97,654.51,47.22,261.87,521.29,86.3,68.76,70.18,5.12,1896.65,868.61,36.08,311.55,194.81,886.26,171.84
Barito Kuala,9388.56,459.32,391.95,235.12,17.97,101.77,121.95,486.93,271.91,189.49,331.58,506.23,707.62,63.38,309.63,211.98,38.9,132.46,31.35,0.56,1964.23,840.37,12.04,198.03,266.05,978.04,519.7
Tapin,11318.08,603.47,532.21,131.29,18.19,159.85,228.81,430.99,321.45,219.49,439.05,286.52,630.11,60.98,365.6,649.29,70.29,87.78,122.45,3.98,2389.73,1270.52,42.66,498.33,305.61,1310.26,139.15
Hulu Sungai Selatan,8073.93,368.87,252.58,138.63,6.98,47.63,150.3,399.93,273.75,94.9,289.56,145.69,451.36,9.02,444.65,207.2,53.19,78.11,85.41,-,2161.97,914.08,11.54,297.58,323.98,721.79,145.24
Hulu Sungai Tengah,10207.01,447.64,325.58,226.07,40.43,162.28,277.49,517.3,437.52,145.45,411.04,304.81,587.82,63.93,361.88,458.75,156.01,128.97,160.08,58.95,2205.47,985.5,70.33,323.68,199.01,944.08,206.95
Hulu Sungai Utara,7887.98,407.63,234.48,240.4,10.33,43.58,217.22,404.38,364.13,124.83,219.21,74.63,491.87,27.23,383.26,310.12,24.99,113.94,12.39,0.07,1882.72,687.76,19.26,351.44,248.27,776.1,217.73
Tabalong,10669.53,579.6,516.59,201.24,15.11,158.08,286.05,489.16,371.04,246.52,237.07,258.88,676.65,50.95,249.36,730.1,273.27,116.26,141.11,104.55,1889,1047.5,13.09,311.21,121.76,1290.33,295.09
Tanah Bumbu,14465.34,633.31,773.01,367.96,95.71,369.68,376.33,667.34,660.3,449.3,582.38,395,968.56,63.4,332.81,710.49,192.98,375.25,207.8,49.73,2166.48,1452.6,91.75,314.97,124.99,1858.04,185.18
Balangan,9080.38,463.09,409.75,136.77,12.22,134.77,256.67,474.68,443.43,85.18,267.14,297.34,606.25,23.85,299.96,612.08,105.69,98.94,127.76,68.55,1730.52,931.06,12.56,168.31,94.94,842.69,376.18
Kota Banjarmasin,9149.19,454.07,426.17,221.66,55.59,109.87,257.34,290.35,311.28,253.82,282.73,49.39,660.03,124.91,294.71,1109.31,286.56,9.81,9.48,7.14,1174.25,776.84,113.15,611.95,276.65,900.23,81.9
Kota Banjar Baru,13145.02,677.29,513.74,273.87,128.24,349.93,423.21,456.76,467.42,564.76,421.86,189.99,676.69,174.84,202.79,1156.68,208.22,87.29,75.04,37.23,1843.04,1378.64,114.79,686.34,401.19,1423.27,211.9
Paser,17802.38,1036.52,1000.18,386.04,172.34,484.22,392.24,796.12,590.58,379.06,491.5,478.79,666.52,116.96,440.75,1303.34,461.06,221.79,185.18,20.57,3003.04,2103.66,92.7,690.5,164.42,1893.86,230.43
Kutai Barat,14754.19,688.02,949.88,210.99,60.39,366.42,346.76,536.76,436.78,301.9,694.19,959.08,586.74,60.84,511.65,614.56,319.12,92.59,138.32,24.76,2577.64,1478.25,50.16,261.1,16.97,2036.23,434.08
Kutai Kartanegara,14834.29,739.58,939.29,310.69,124.13,356.91,374.23,556.11,585.05,409.55,489.61,299.86,720.27,166.26,389.43,845.76,313.34,213.92,122.88,86.66,2353.84,1343.23,55.83,817.72,96.23,1966.1,157.84
Kutai Timur,20551.6,997.71,1184.32,425.86,225.24,654.07,310.24,629.37,960.64,524.01,681.42,410.57,908.82,188.93,398.81,640.86,245.66,334.97,249.38,93.2,3428.31,2405.93,113.26,518.84,211.01,3424.52,385.65
Berau,18503.49,1191.15,1162.58,542.35,309.56,847.6,320.2,544.3,812.62,735.99,414.3,337.35,798.79,143.61,460.01,193.76,36.77,141,190.68,24.75,3008.21,1864.21,114.46,991.37,121.1,2770.79,425.99
Penajam Paser Utara,14108.63,660.19,822.4,80.65,112.29,584.15,265.88,561.88,905.43,204.14,298.2,378.53,670.93,54.11,162.9,1202.28,341.62,182.52,205.49,-,2289.82,1528.45,0.8,358.5,21.86,2033.76,181.86
Mahakam Ulu,23121.1,1479.06,1582.14,179.67,117.47,1019.36,398.95,975.91,367.01,408.95,1434.65,1875.63,1221.55,71.27,1052.76,387.9,59.05,149.67,196.63,9.57,3668.13,2981.77,7.24,286.21,116.83,2657.72,416.04
Kota Balikpapan,16090.56,738,1060.53,237.5,179.76,486.74,270.48,339.23,931.32,422.56,292.35,179.7,741,198.49,283.58,1543.16,740.07,171.43,123.14,16.12,2217.54,1672.61,148.44,380.45,82.63,2376.3,257.41
Kota Samarinda,13978.78,802.16,692.07,326.53,147.77,496.75,469.4,408.75,847.84,553.23,384.58,177.46,558.92,138.64,308.91,876.29,254.97,111.5,81.7,13.27,2027.87,1504.79,209.89,512.5,161.14,1726.62,185.22
Kota Bontang,14375.42,778,839.7,275.68,151.13,366.72,281.54,317.56,992.77,597.94,415.82,209.75,522.1,141.33,412.81,989.55,302.59,154.84,95.11,9.81,2199.41,1458.44,109.66,486.61,44.39,1755.08,467.07
Malinau,17802.64,979.54,1201.06,143.04,91.1,715.13,140.49,315.64,467.4,305.44,358.54,1607.24,445.96,82.8,536.78,125.74,2.53,144.79,154.73,-,2971.25,2494.78,39.01,489.85,112.76,2865.24,1011.79
Bulungan,17641.96,1158.7,1283.65,244.41,238.34,646.16,216.43,537.16,478.46,543.06,325.46,1099.32,577.48,227.23,372.9,229.66,84.31,116.89,209.7,22.73,2506.92,1957.18,125.99,617.12,179.87,3056.29,586.53
Tana Tidung,16980.96,1001.28,963.64,244.11,130.22,777.93,107.11,548.93,606.73,450,568.16,857.89,612.48,182.45,583.08,614.87,398.89,90.46,250.66,31.36,2596.7,2154.49,80.33,209.45,78.58,2491.5,349.65
Nunukan,13800.85,945.27,1140.16,278,123.02,599.99,21.26,364.69,790.5,236.56,384.83,626.08,593.05,29.87,378.84,96.75,11.19,86.52,253.57,-,2463.03,1711.81,38.94,526.5,33.64,1540.57,526.23
Kota Tarakan,14006.76,1177.88,1021.88,262.59,48.07,696.11,195.55,388.57,925.52,519.75,306.91,220.17,458.41,273.44,428.03,348.75,76.77,103.34,76.9,0.98,1981.84,1453.73,199.41,452.24,89.8,2071.23,228.9
Bolaang Mongondow,14766.64,422.99,1299.86,270.65,243.18,50.06,78.57,295.42,1177.43,215.37,186.35,330.03,472.56,122.1,135.26,88.42,30.03,36.57,11.19,5.93,2366.76,1084.03,3.95,269.39,125.94,4405.85,1038.75
Minahasa,14074.09,71.54,982.12,208.37,303.9,52.06,206.12,198.73,653.2,478.34,206.69,346.75,397.7,135.65,320.89,156.88,36.69,15.12,78.36,-,1743.96,1305,4.55,193.54,32.06,3865.42,2080.43
Kepulauan Sangihe,12072.37,104.54,890.81,271.13,68.59,28.67,36.12,196.28,1571.12,157.38,45.08,329.74,283.65,2.31,197.34,66.33,15.41,59.72,12.81,-,2331.41,1355.37,10.13,213.84,12.05,2565.7,1246.87
Kepulauan Talaud,13132.96,105.27,1083.32,310.54,70.59,52.43,20,198.17,421.5,250.06,156.01,409.67,901.18,36.57,75.09,162.53,16.86,71.35,93.23,-,2997.12,1787.59,5.39,113.75,46.4,3159.43,588.92
Minahasa Selatan,13575.15,161.17,937.68,110.75,217.9,119.63,89.4,121.75,1257.85,391.94,92.81,321.58,290.66,137.31,157,82.2,8.48,12.79,34.46,-,1769.07,1589.48,3.19,311.93,30.1,3620.07,1705.95
Minahasa Utara,14417.08,225.21,950.17,172.34,343.41,104.77,46.8,204.11,1061.53,370.33,177.62,256.52,482.46,133.15,145.59,236.45,5.92,49.19,27.93,-,2738,1176.65,27.7,815.81,266.96,3650.87,747.59
Bolaang Mongondow Utara,11436.32,190.77,1269.53,115.73,43.15,36.2,33.72,186.18,764.48,154.62,139.39,647.73,518.9,35.57,38.7,49.04,-,41.72,49.56,-,2186.06,769.09,2.27,99.35,42.91,3619.29,402.37
Siau Tagulandang Biaro,13725.32,130.68,912.86,494.67,275.89,164.21,46.48,147.88,2456.24,333.58,163.66,211.24,655.09,29.19,321.44,161.11,33.53,30.79,50.91,-,2248.48,825.86,4.48,346.92,23.79,2864.94,791.41
Minahasa Tenggara,13474.2,181.06,859.8,189.88,80.05,57.68,73.33,122.84,1156.45,268.89,79.52,194.62,398.63,38.96,194.24,178.49,63.07,1.36,34.51,1.79,2114.13,1059.81,26.39,210.84,18.93,4009.47,1859.46
Bolaang Mongondow Selatan,13259.04,230.28,1240.32,183.97,27.52,12.82,41.35,233.71,1176.94,120.36,102.87,76.68,666.01,22.22,50.77,50.27,10.86,18.94,79.64,5.3,2315.58,794.84,3.06,91.77,32.85,5241.52,428.59
Bolaang Mongondow Timur,13447.16,257.93,1104.81,121.65,110.82,57.57,88.23,337.3,1052.54,153.64,74.8,335.25,587.63,101.98,148.91,100.53,6,65.79,22.64,-,2708.08,963.02,-,262.9,92.07,3882.49,810.58
Kota Manado,12785.97,171.14,1188.46,173.74,405.83,59.36,115.23,94.27,512.12,422.15,244.48,289.72,466.31,201.13,153.58,381.77,26.48,30.34,15.26,-,2392.49,1193.09,28.87,306.63,42.18,3350.38,520.97
Kota Bitung,14059.47,251.32,1166.1,268.59,323.54,148.35,87.28,171.9,961,315.95,206.17,256.55,329.53,140.73,214.7,343.7,27.05,39.49,71.28,15.59,2443.2,1544.27,65.14,454.27,12.44,3853.32,348
Kota Tomohon,15194.1,115.23,1152.33,286.54,454.7,139.67,234.47,180.27,888.95,472.19,207.74,139.26,343.15,168.14,273.73,113.54,13.26,14.05,60,0.33,2575.12,1825.29,47.43,195.06,156.1,3930.38,1207.17
Kota Kotamobagu,10691.39,329.81,870.16,65.33,153.05,50.77,61.05,282.8,681.19,169.16,103.5,107.69,491.54,113.51,221.52,130.18,21.86,14.47,19.93,-,1756.6,595.97,29.43,121.5,6.05,3006.84,1287.47
Banggai Kepulauan,8897.66,256.22,716.27,71.36,1.73,3.84,10.06,388.03,468.29,77.57,317.07,442.46,513.21,26.87,218.52,17.17,4.48,42.97,259.5,-,2021.24,812.54,5.22,385.96,14.86,1455,367.22
Banggai,11490.91,516.58,807.13,141.7,60.82,110.18,106.38,405.87,603.06,133.47,201.82,258.36,657.14,271.01,158.61,256.72,62.86,125.03,190.31,26.56,2271.57,1232.44,2.57,569.93,28.43,1950.62,341.77
Morowali,16589.87,1052.25,1386.44,397.57,35.96,216.53,219.87,754.48,600.9,273.29,485.43,503.06,613.96,81.94,226.24,86.17,170.43,124.54,221.26,60.12,3233.73,1831.87,-,507.29,29.53,3322.43,154.56
Poso,12475.94,682.55,844.82,162.42,115.87,357.27,124.13,310.37,762.82,250.19,97.76,785.8,543.59,103.39,488.86,52.01,3.77,102.98,73.94,5.72,2043.6,1293.31,12.53,181.28,118.98,2625.87,332.09
Donggala,9613.65,554.81,578.43,158.93,45.2,119.24,78.61,318.79,514.55,125.55,209.29,302.4,599.56,58.62,297.02,111.16,9.99,165.05,93.89,15.34,1339.02,617.63,1.15,459.12,31.26,1684.14,1124.87
Toli-Toli,8863.97,649.01,609.11,87.48,55.05,75.94,40.42,274.9,412.85,149.97,111.95,104,331.58,72.7,255.92,226.97,118.23,145.91,137.92,14.2,1598.69,747.94,41.8,427.73,30.32,1762.5,380.9
Buol,8872,498.9,940.46,53.95,26.59,58.83,18.3,281.24,288.8,24.33,54.22,72.69,466.83,43.19,141.9,73.44,15.97,83.67,129.56,-,2017.65,937.86,2.3,120.91,2.54,2329.84,188.03
Parigi Moutong,9219.36,506.25,654.55,362.34,26.7,142.15,119.95,328.17,181.09,194.62,156.95,284.82,399.73,108.54,155.73,95.85,64.76,142.83,117.42,25.39,1553.39,829.53,5.74,476.66,45.06,1868.23,372.91
Tojo Una-Una,10096.45,634.88,693.74,112.63,28.58,72.67,119.83,395.14,1084.21,86.59,181.86,322.14,561.46,22.61,70.94,95.89,7.86,74.93,124.39,-,1742.34,800.17,14.29,87.82,74.15,2226.31,461.04
Sigi,13054,389.08,828.44,165.44,89.04,188.11,146.3,492.83,274.57,108.03,158.25,523.49,538.85,99.36,465.37,254.18,44.8,349.36,124.24,19.11,2114.96,1248.01,2.01,753.53,213.33,2902.85,560.44
Banggai Laut,11171.42,567.23,909.28,109.96,37.21,72.9,30.47,455.53,581.58,33.13,357.65,424.06,664.44,67.86,163.65,32.07,20.89,24.67,295.29,5.77,2456,1634.38,3.3,509.17,24.5,1552.26,138.15
Morowali Utara,14128.39,503.86,1032.43,227.16,117.72,275.36,186.41,579.86,730.08,184.41,215.8,669.23,729.74,109.53,284.54,201.76,133.22,116.02,189.63,7.01,2825.89,1940.28,37.14,381.58,49.53,2036.01,364.18
Kota Palu,12512.61,650.31,784.48,321.35,208.72,297.16,227.8,265.05,252.39,709.47,250.43,108.13,354.04,133.38,317.28,206.74,29.75,74.57,44.7,-,2140.69,1359.88,98.73,983.26,85.12,2233.27,375.9
Kepulauan Selayar,9557.1,353.86,675.76,266.68,22.57,111.59,8.43,315.36,502.24,234.35,310.94,198.24,536.76,76.05,292.36,19.87,-,119.38,314.31,-,1721.5,902.9,5.54,638,27.2,670.01,1233.18
Bulukumba,8106.18,382.83,714.68,173.17,85.97,80.71,79.95,426.56,224.69,143.92,154.84,330.65,396.65,49.24,398.21,144.52,44.04,151.7,93.02,15.4,1170.58,760.7,0.28,287.89,26.01,797.57,972.43
Bantaeng,8604.91,342.15,679.67,330.7,231.05,134.43,215.04,350.45,545.2,153.23,152.51,754.48,535.87,49,429.11,59.1,8.39,159.87,88.39,0.74,862.54,644.9,13.74,271.8,18.53,617.5,956.56
Jeneponto,7816.32,403.75,736.22,341.03,164.36,104.62,137.83,541.13,485.99,148.64,67.62,342.48,527.45,49.21,157.62,120.06,36.8,41.38,75.82,8.7,927.53,750.8,10.14,223.61,41.29,505.49,866.73
Takalar,6889.93,283.35,697.74,117.3,132.19,356.73,9.44,413.37,290.55,135.81,269.77,152.25,439.52,152.58,425.41,263.64,40.23,72.75,93.26,2.77,880.35,663.96,4.01,66.11,5,605.94,315.89
Gowa,8282.73,344.52,768.41,349.55,164.94,394.27,254.26,423.43,358.79,245.24,252.19,462.48,263.77,122.14,334.77,194.12,9.55,116.82,121.33,-,1104.16,806.5,6.31,255.63,15.67,625.97,287.91
Sinjai,7973.46,211.68,481.4,220.59,127.64,151.9,177.68,575.02,201.29,195.21,137.69,404.98,355.25,23.98,497.62,41.4,4.29,197.85,178.64,2.55,911.93,721.28,0.86,677.96,25.4,894.61,554.76
Maros,8617.51,583.46,764.36,351.69,192.68,242.62,62.08,463.86,456.5,228.07,167.76,121.58,407,132.7,503.62,330.75,19.32,67.87,100.87,3.23,1197.69,823.59,0.56,258.92,29.05,750.56,357.12
Pangkajene dan Kepulauan,9695.17,710.99,795.93,282.59,190.5,275.66,54.45,518.78,597.28,325.98,249.85,78.93,429.47,131.72,358.23,501.61,44.65,139.22,204.03,-,1407.26,817.3,39.92,488.58,40.69,657.4,354.1
Barru,8923.54,788.71,637.22,266.55,50.24,156.37,37.32,460.49,698.65,251.35,163.22,55.77,518.35,26.53,421.23,56.03,42.49,93.34,329.39,-,1215.68,752.38,2.38,389.4,11.33,922.19,576.92
Bone,6322.77,509.23,433.71,176.53,42.2,73.87,19.04,294.96,412.95,142.94,120.64,50.58,406.85,19.43,356.1,181.84,8.86,24.3,120.25,-,979.32,578.94,2.91,296.97,13.7,616.38,440.27
Soppeng,7680.54,414.62,265.77,106.99,9.44,63.37,17.67,221.73,578.74,143.54,144.94,8.63,472.12,9.69,421.58,83.46,6.8,51.45,154.45,5.92,1188.55,675.88,21.35,515.97,64.11,769.43,1264.33
Wajo,8753.58,484.93,430.55,230.13,25.85,69.87,12.84,334.11,367.38,209.34,208.6,40.24,535.63,36.79,540.09,452.84,146.02,77.42,75.31,4.55,1314.73,672.72,32.42,925.69,53.23,955.67,516.63
Sidenreng Rappang,7772.21,339.91,549.17,49.33,19.66,44.86,12.28,282.97,801.71,95.12,97.33,87.86,272.95,19.57,310.96,469.33,534.41,59.51,73.05,-,1207.34,591.59,19.82,567.94,39.87,997.99,227.7
Pinrang,7553.39,474.17,635.15,215.76,14.97,136.35,38.39,352.44,488.28,111.72,93.49,280.42,338.59,27.33,247.27,256.35,238.47,69.59,145.18,0.71,1069.25,592.87,36.74,543.72,47.46,709.8,388.93
Enrekang,7791.59,600.88,609.36,187.53,80.79,204.25,143.71,308.78,685.78,289.55,16.3,176.27,182.94,12.6,465.41,66.5,29.18,86.8,36.29,-,1103.75,751.65,14.43,220.99,11.96,608.21,897.67
Luwu,7957.57,603.74,645.4,205.11,52.23,94.7,41.5,349.41,556.72,145.59,126.3,365.65,681.03,36.06,281.5,10.97,6.64,56.22,81.36,0.32,1159.52,807.11,49.88,229.36,48.59,998.19,324.44
Tana Toraja,10530.36,329.86,846.52,29.55,131.47,461.53,130.38,224.1,709.77,151.36,73.27,1434.21,212.38,31.64,549.49,10,-,62.99,370.57,-,1378.66,956.07,1.52,231.66,126.82,1612.86,463.69
Luwu Utara,8806.92,567.39,694.77,215.28,45.98,104.34,27.79,408.62,543.66,109.76,108.76,425.99,860.95,35.09,344.47,51.45,12.53,53.91,117.36,24.38,1242.1,788.55,18.31,165.98,9.7,1476.52,353.29
Luwu Timur,9459.85,542.38,615.46,266.58,86.53,140.13,134.58,373.63,674.53,326.88,149.89,427.97,629.31,84.22,217.12,44.75,20.91,131.64,217.4,29.75,1441.33,929.7,19.52,165.62,8.88,1509.52,271.61
Toraja Utara,10979.17,326.12,863.73,52.63,161.04,637.36,78.46,206.21,789.27,359.91,72.31,1290.39,185.29,42.34,610.8,4.68,4.31,60.86,246.25,1,1215.44,922.19,30.64,316.62,52.32,1829.8,619.21
Kota Makasar,10520.89,779.24,1022.86,396.85,266.11,523.65,171.69,491.45,432.2,517.55,168.08,96.24,372.17,233.21,500.48,332.7,173.05,109.78,7.89,9.13,1168.03,976.21,87.22,482.33,33.4,997.61,171.75
Kota Parepare,8003.04,154.97,606.43,221.04,75.12,154.41,99.86,156.23,652.84,237.98,123.28,123.09,195.6,87.46,224.81,806.97,178.36,47.3,72.57,-,1059.58,640.59,47.15,573.72,16.61,913.12,533.93
Kota Palopo,8180.25,559.88,624.17,289.76,56.86,174.1,54.19,274.23,1018.46,269.82,132,242.78,539.52,155.71,300.54,95.47,12.2,63.07,46.28,-,894.04,684.92,15.71,76.13,11.65,1290.72,298.03
Buton,8237.34,648.27,651.26,128.72,40.85,105.61,128.49,301.97,830.14,77.66,52.74,239.98,580.88,20.71,184.35,10.5,0.64,68.62,286.4,-,1455.31,885.35,1.33,208.54,-,583.11,745.92
Muna,6572.48,494.25,536.9,85.24,6.88,21.35,7.64,284.72,455.72,91.46,61.78,56.23,656.35,32.52,374.14,8.96,4.71,33.4,232.3,14.95,894.39,455.19,0.17,89.16,12.73,428.4,1232.94
Konawe,10123.25,977.67,905.31,282.55,23.36,224.97,74.34,693.29,548.04,212.3,156.14,497.06,865.56,87.83,263.05,74.01,16.96,130.74,316.78,1.71,1338.51,863.05,-,98.06,9.83,1145.96,316.17
Kolaka,10177.08,710.2,788.17,202.58,39.89,290.59,61.2,404.91,662.59,225.08,240.57,501.72,555.52,70.66,339.59,149.23,14.53,112.5,316.03,20.85,1493.52,881.32,35.67,340.79,32.03,1304.46,382.87
Konawe Selatan,9523.48,661.72,764.19,181.81,63.55,215.63,64.44,686.19,297.93,189.57,201.52,550.8,976.55,98.42,177.16,10.26,0.16,171.51,383.68,19.62,1349.4,794.73,1.55,54.16,23.2,1178.72,407.02
Bombana,7554.77,522.37,545.93,175.35,19.32,131.94,30.08,409.1,720.73,145.19,91.24,164.27,691.27,29.23,305.69,32.45,4.46,106.84,191.97,1.58,1241.61,785.5,12.86,273.4,8.48,628.08,285.81
Wakatobi,11039.6,558.54,1022.34,233.37,52.45,182.02,62.33,298.43,762.75,218.11,98.58,359.22,536.37,27.49,212.19,6.98,0.73,104.83,718.81,11.54,1718.15,1152.09,8.97,175.16,29.59,683.66,1804.91
Kolaka Utara,7976.78,680.59,610.63,275.95,8.37,88.27,31.81,427.88,244.08,97.26,139.47,194.18,818.29,42.83,331.11,7.25,4.85,30.25,439.22,27.45,990.7,685.24,5.28,26.94,5.32,968.83,794.7
Buton Utara,7642.3,604.73,571.79,94.78,27.89,38.21,23.18,290.35,865.33,79.7,125.82,174.32,745.37,15.83,295.67,41.19,-,17.45,255.49,-,1193.5,767.12,8.85,100.97,22.35,555.63,726.79
Konawe Utara,10588.08,825.87,987.37,368.29,43.42,212.36,48.77,625.49,299.21,285.69,206.44,519.48,840.97,47.68,298.95,7.92,3.63,161.32,368.59,-,1523.85,1027.99,11.16,143.58,27.01,1099.44,603.59
Kolaka Timur,8637.82,555.82,599.08,192.24,27.46,204.96,44.6,508.97,176.09,65.15,104.98,476.97,750.4,36.78,270.67,-,-,148.32,340.37,87.12,1587.45,917.96,-,106.48,19.19,979.26,437.49
Konawe Kepulauan,9586.31,994.45,678.25,404.84,12.81,163.39,31.28,632.2,190.42,153.8,292.52,523.61,819.57,6.26,175.57,33.43,11.32,156.97,649.78,6.32,1295.72,649.86,-,65.16,11.32,867.68,759.79
Muna Barat,7471.48,652.65,747.78,68.06,7.85,39.46,14.51,462.16,514.53,31.99,106.46,88.82,643.36,54.85,269,17.64,8.87,57.28,317.85,18.84,1190.11,600.02,-,130.3,0.3,543.1,885.67
Buton Tengah,6773.74,386.08,735.81,68.77,10.64,104.27,55.79,187.33,651.58,74.55,79.05,21.94,638.86,25.86,384.1,134.58,17.44,14.68,310.74,-,909.58,472.65,-,102.71,2.44,438.38,945.92
Buton Selatan,7212.21,519.01,734.51,93.81,29.73,113.26,265.54,263.85,656.5,28.15,52.08,143.88,478.64,18.19,206.55,35.03,1.42,48.77,602.05,6.62,1122.34,679.76,1.14,112.2,5.75,131.91,861.55
Kota Kendari,12035.38,822.2,981.94,348.25,107.81,405.81,95.51,625.44,451,477.46,348.79,277.32,716.95,250.19,410.43,133.9,56.55,168.01,352.41,1.76,1426.9,1004.97,88.7,434.52,86.06,1112.32,850.2
Kota Baubau,7672.42,523.32,780.13,107.35,53.53,248.76,89.52,207.02,318.48,145.28,116.27,38.89,476.55,80.95,205.92,210.01,38.02,49.16,253.35,17.25,1091.98,672.88,46.85,139.92,13.75,668.47,1078.8
Boalemo,13083.45,176.42,958.12,208.57,28.3,17.87,8.63,300.34,1342.01,138.35,89.74,86.92,609.99,26.82,9.6,97.76,22.16,42.5,275.78,10.22,2401.54,1133.53,8.21,25.3,7.86,4763.8,293.11
Gorontalo,10745.79,187.69,1175.56,142.94,40.42,82.95,18.34,313.31,1210.64,128.96,206.72,25.55,649,81.09,28.17,285.31,19.86,11.59,54.31,9.72,2001.5,595.67,12.22,126.32,2.34,3234.77,100.83
Pohuwato,9261.13,131.77,933.61,123.24,30.25,49.25,22.21,154.02,875.36,54.67,67.99,50.28,723.4,11.64,26.89,228.92,19.05,11.3,83.46,6.38,1949.76,657,0.72,64.41,1.59,2908.71,75.24
Bone Bolango,11238.84,224.37,956,106.14,59.86,60.73,1.51,211.26,1123.38,107.72,183.83,93.09,555.95,32.86,3,313.18,25,9.69,110.58,-,2349.93,754.05,10.88,112.29,-,3587,246.55
Gorontalo Utara,11294.18,147.22,1027.72,196.67,42.57,36.44,6.81,273.4,1103.11,30.67,109.95,146.99,579.76,60.84,47.87,183.45,16.72,7.57,168.97,24.07,2324.36,777.39,-,276.26,54.71,3364.48,286.16
Kota Gorontalo,13026.34,276.29,1148.35,84.31,77.76,79.34,1.66,277.71,1630.04,179.21,232.65,10.04,586.94,98.09,23.57,393.88,19.9,38.47,20.01,-,2363.08,817.62,14.03,226.97,2.74,4148.59,275.07
Majene,7408.38,395.39,338.93,108.53,135.65,127.33,35.85,128.23,628.7,277.59,116.97,22.95,238.97,58.01,264.02,384.19,199.04,19.43,70.57,9.41,1173.61,574.4,5.79,1216.16,12.26,529.81,336.57
Polewali Mandar,6990.12,359.98,331.54,97.59,36.49,69.05,20.39,249.88,341.41,94.09,62.92,122.82,366.27,30.11,174.44,225.27,206.33,60.39,143.59,2.03,1185.74,681.62,9.23,1068.34,3.5,704.23,342.88
Mamasa,6710.49,312.94,328.49,84.79,94.6,359.45,39.41,125.42,390.14,87.48,35.74,1445.04,57.23,17.11,585.31,9.7,13.27,21.82,43.57,-,831.64,676.47,70.85,123.67,42.83,695.51,218.03
Mamuju,8350.82,640.54,587.18,273.5,14.38,164.06,43.73,375.9,327.81,228.54,220.22,257.3,316.52,33.7,166.34,50.99,107.99,134.44,138.96,3.68,1414.01,686.01,36.95,824.94,56.01,998.08,249.02
Mamuju Utara,10922.92,629.66,707.35,371.06,85.82,121.69,78.94,374.17,626.05,144.21,214.34,188.35,481.77,57.08,228.42,214.45,124.06,95.63,128.22,-,1935.61,1118.11,31.62,1139.68,90.04,1513.4,223.21
Mamuju Tengah,9017.87,553.9,578.01,222.05,60.14,151.88,66.69,386.6,222.33,138.54,158.31,280.88,460.49,46.17,192.26,25.45,3.68,51.52,101.03,31.39,1803.82,933.39,9.67,862.2,35.97,1272.61,368.87
Maluku Tenggara Barat,12603.67,444.64,1166.11,58.4,160.8,389.93,165,512.02,160.67,81.67,373.04,1515.72,756.26,45.71,50.8,172.17,14.66,86.75,606.46,-,1840.86,1672.97,37.21,430.3,244.03,983.4,634.1
Maluku Tenggara,12692.36,611.59,697.53,49.55,61.28,267.46,58.82,158.26,402.63,122.86,211.16,1586.12,661.81,125.28,118.41,218.84,14.31,91.5,698.56,13.25,1619.11,1397.24,3.43,180.94,77.85,1409.69,1834.87
Maluku Tengah,15627.34,847.35,1513.76,202.96,207.34,508.52,238.61,404.46,407.75,336.36,277.62,909.37,571.18,124.61,317.64,308.27,16.74,131.07,526.68,-,2478.95,2103.48,9.97,927.07,84.26,1374.73,798.6
Buru,12772.41,483.04,1240.18,169.95,58.44,301.46,299.11,412.58,924.29,73.65,247.74,619.6,524.91,51.04,91.67,389.78,11.23,123.62,238.38,7.76,2105.8,1481.89,18.09,713.28,38.65,1637.92,508.36
Kepulauan Aru,14401.29,843.28,2150,84.69,56.56,322.03,45.57,519.47,345.94,28.96,113.85,1224.67,366.57,33.1,208.5,277.16,58.66,39.16,502.05,6,2302.31,2003.72,19.97,417.32,86.32,1358.17,987.27
Seram Bagian Barat,14295.57,599.23,1665.59,47.9,33.2,416.04,154.4,454.41,538.45,62.96,291.08,1130.14,798.99,32.84,341.2,122.54,5.02,56.8,425.36,0.86,2175.16,1952.69,1.71,592.79,16.61,1071.81,1307.8
Seram Bagian Timur,13448.54,693.97,1296.17,80.03,86.59,138.72,215.27,486.15,466.64,124.06,289.8,493.26,731.5,19.62,37.4,26.3,9.98,97.89,646.45,-,2180.85,1897.07,4.26,713.83,31.36,2053.2,628.17
Maluku Barat Daya,15692.69,850.59,2122.18,55.67,99.39,472.05,39.44,703.95,168.34,171.46,172.4,2102.53,711.19,59.67,242.09,199.44,4.02,56.49,971.09,-,1876.84,1692.17,25.03,236.24,50.39,765.23,1844.81
Buru Selatan,11649.31,528.08,1124.84,39.25,63.04,262.82,172.34,351.17,219.29,47.66,75.84,1382.73,617.29,15.69,146.39,95.27,3.88,181.29,276.08,-,2020.21,1633.97,13.24,640.59,52.98,963.92,721.44
